PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Beche, E; Gillman, JD; Song, QJ; Nelson, R; Beissinger, T; Decker, J; Shannon, G; Scaboo, AM				Beche, Eduardo; Gillman, Jason D.; Song, Qijian; Nelson, Randall; Beissinger, Tim; Decker, Jared; Shannon, Grover; Scaboo, Andrew M.			Genomic prediction using training population design in interspecific soybean populations	MOLECULAR BREEDING																		Scaboo, Andrew/0000-0002-9670-8446													1380-3743	1572-9788				FEB	2021	41	2							15	10.1007/s11032-021-01203-6	http://dx.doi.org/10.1007/s11032-021-01203-6								37309481					WOS:000617140000001
J	Miller, MJ; Song, QJ; Fallen, B; Li, ZL				Miller, Mark J.; Song, Qijian; Fallen, Benjamin; Li, Zenglu			Genomic prediction of optimal cross combinations to accelerate genetic improvement of soybean (Glycine max)	FRONTIERS IN PLANT SCIENCE																															1664-462X					MAY 10	2023	14								1171135	10.3389/fpls.2023.1171135	http://dx.doi.org/10.3389/fpls.2023.1171135								37235007					WOS:000993123300001
J	Stich, B; Van Inghelandt, D				Stich, Benjamin; Van Inghelandt, Delphine			Prospects and Potential Uses of Genomic Prediction of Key Performance Traits in Tetraploid Potato	FRONTIERS IN PLANT SCIENCE																	Van Inghelandt, Delphine/ABA-3015-2020	Van Inghelandt, Delphine/0000-0002-2819-843X													1664-462X					MAR 7	2018	9								159	10.3389/fpls.2018.00159	http://dx.doi.org/10.3389/fpls.2018.00159								29563919					WOS:000426779800001
J	Velazco, JG; Jordan, DR; Mace, ES; Hunt, CH; Malosetti, M; van Eeuwijk, FA				Velazco, Julio G.; Jordan, David R.; Mace, Emma S.; Hunt, Colleen H.; Malosetti, Marcos; van Eeuwijk, Fred A.			Genomic Prediction of Grain Yield and Drought-Adaptation Capacity in Sorghum Is Enhanced by Multi-Trait Analysis	FRONTIERS IN PLANT SCIENCE																	Jordan, David R/A-7103-2011; Hunt, Colleen/AAO-3583-2021	Jordan, David R/0000-0002-8128-1304; Hunt, Colleen/0000-0001-8359-5318; Mace, Emma/0000-0002-5337-8168													1664-462X					JUL 31	2019	10								997	10.3389/fpls.2019.00997	http://dx.doi.org/10.3389/fpls.2019.00997								31417601					WOS:000478017400001
J	Bonnett, D; Li, YL; Crossa, J; Dreisigacker, S; Basnet, B; Perez-Rodriguez, P; Alvarado, G; Jannink, JL; Poland, J; Sorrells, M				Bonnett, David; Li, Yongle; Crossa, Jose; Dreisigacker, Susanne; Basnet, Bhoja; Perez-Rodriguez, Paulino; Alvarado, G.; Jannink, J. L.; Poland, Jesse; Sorrells, Mark			Response to Early Generation Genomic Selection for Yield in Wheat	FRONTIERS IN PLANT SCIENCE																	Poland, Jesse/HKO-1284-2023														1664-462X					JAN 11	2022	12								718611	10.3389/fpls.2021.718611	http://dx.doi.org/10.3389/fpls.2021.718611								35087542					WOS:000757589000001
J	Ahmadi, N; Cao, TV; Frouin, J; Norton, GJ; Price, AH				Ahmadi, Nourollah; Cao, Tuong-Vi; Frouin, Julien; Norton, Gareth J.; Price, Adam H.			Genomic Prediction of Arsenic Tolerance and Grain Yield in Rice: Contribution of Trait-Specific Markers and Multi-Environment Models	RICE SCIENCE																	Norton, Gareth J/D-7512-2012														1672-6308	1876-4762				MAY	2021	28	3					268	278		10.1016/j.rsci.2021.04.006	http://dx.doi.org/10.1016/j.rsci.2021.04.006		MAY 2021											WOS:000651258500007
J	Gill, HS; Halder, J; Zhang, JF; Brar, NK; Rai, TS; Hall, C; Bernardo, A; St Amand, P; Bai, GH; Olson, E; Ali, S; Turnipseed, B; Sehgal, SK				Gill, Harsimardeep S.; Halder, Jyotirmoy; Zhang, Jinfeng; Brar, Navreet K.; Rai, Teerath S.; Hall, Cody; Bernardo, Amy; St Amand, Paul; Bai, Guihua; Olson, Eric; Ali, Shaukat; Turnipseed, Brent; Sehgal, Sunish K.			Multi-Trait Multi-Environment Genomic Prediction of Agronomic Traits in Advanced Breeding Lines of Winter Wheat	FRONTIERS IN PLANT SCIENCE																	GILL, HARSIMARDEEP SINGH/GPK-1388-2022	Gill, Harsimardeep/0000-0002-3067-6912													1664-462X					AUG 18	2021	12								709545	10.3389/fpls.2021.709545	http://dx.doi.org/10.3389/fpls.2021.709545								34490011					WOS:000692870200001
J	Montesinos-Lopez, OA; Montesinos-Lopez, A; Tuberosa, R; Maccaferri, M; Sciara, G; Ammar, K; Crossa, J				Montesinos-Lopez, Osval A.; Montesinos-Lopez, Abelardo; Tuberosa, Roberto; Maccaferri, Marco; Sciara, Giuseppe; Ammar, Karim; Crossa, Jose			Multi-Trait, Multi-Environment Genomic Prediction of Durum Wheat With Genomic Best Linear Unbiased Predictor and Deep Learning Methods	FRONTIERS IN PLANT SCIENCE																		Montesinos-Lopez, Osval Antonio/0000-0002-3973-6547													1664-462X					NOV 8	2019	10								1311	10.3389/fpls.2019.01311	http://dx.doi.org/10.3389/fpls.2019.01311								31787990					WOS:000498950800001
J	Badu-Apraku, B; Talabi, AO; Fakorede, MAB; Fasanmade, Y; Gedil, M; Magorokosho, C; Asiedu, R				Badu-Apraku, B.; Talabi, A. O.; Fakorede, M. A. B.; Fasanmade, Y.; Gedil, M.; Magorokosho, C.; Asiedu, R.			Yield gains and associated changes in an early yellow bi-parental maize population following genomic selection for Striga resistance and drought tolerance	BMC PLANT BIOLOGY																	Gedil, Melaku/H-9445-2019; Asiedu, Robert/AAV-6512-2021	Gedil, Melaku/0000-0002-6258-6014; Asiedu, Robert/0000-0001-8943-2376; BADU-APRAKU, BAFFOUR/0000-0003-0113-5487													1471-2229					APR 5	2019	19								129	10.1186/s12870-019-1740-z	http://dx.doi.org/10.1186/s12870-019-1740-z								30953477					WOS:000463764500001
J	Cantelmo, NF; Marcio, RGV; Balestre, M				Cantelmo, Narjara Fonseca; Marcio, Renzo Garcia Von Pinho; Balestre, Marcio			Genome-wide prediction for maize single-cross hybrids using the GBLUP model and validation in different crop seasons	MOLECULAR BREEDING																															1380-3743	1572-9788				APR	2017	37	4							51	10.1007/s11032-017-0651-7	http://dx.doi.org/10.1007/s11032-017-0651-7													WOS:000400081400009
J	Bandillo, NB; Jarquin, D; Posadas, LG; Lorenz, AJ; Graef, GL				Bandillo, Nonoy B. B.; Jarquin, Diego; Posadas, Luis G. G.; Lorenz, Aaron J. J.; Graef, George L. L.			Genomic selection performs as effectively as phenotypic selection for increasing seed yield in soybean	PLANT GENOME																		JARQUIN, DIEGO/0000-0002-5098-2060; Bandillo, Nonoy/0000-0002-5941-9047; Graef, George/0000-0002-7234-0421														1940-3372				2022 NOV 29	2022										10.1002/tpg2.20285	http://dx.doi.org/10.1002/tpg2.20285		NOV 2022						36447395					WOS:000892001400001
J	Zhang, A; Perez-Rodriguez, P; San Vicente, F; Palacios-Rojas, N; Dhliwayo, T; Liu, YB; Cui, ZH; Guan, Y; Wang, H; Zheng, HJ; Olsen, M; Prasanna, BM; Ruan, YY; Crossa, J; Zhang, XC				Zhang, Ao; Perez-Rodriguez, Paulino; San Vicente, Felix; Palacios-Rojas, Natalia; Dhliwayo, Thanda; Liu, Yubo; Cui, Zhenhai; Guan, Yuan; Wang, Hui; Zheng, Hongjian; Olsen, Michael; Prasanna, Boddupalli M.; Ruan, Yanye; Crossa, Jose; Zhang, Xuecai			Genomic prediction of the performance of hybrids and the combining abilities for line by tester trials in maize	CROP JOURNAL																		Dhliwayo, Thanda/0000-0001-8583-129X													2095-5421	2214-5141				FEB	2022	10	1					109	116		10.1016/j.cj.2021.04.007	http://dx.doi.org/10.1016/j.cj.2021.04.007		FEB 2022											WOS:000753978200011
J	Dordevic, V; Ceran, M; Miladinovic, J; Balesevic-Tubic, S; Petrovic, K; Miladinov, Z; Marinkovic, J				Dordevic, Vuk; Ceran, Marina; Miladinovic, Jegor; Balesevic-Tubic, Svetlana; Petrovic, Kristina; Miladinov, Zlatica; Marinkovic, Jelena			Exploring the performance of genomic prediction models for soybean yield using different validation approaches	MOLECULAR BREEDING																	Djordjevic, Vuk/AAD-6161-2020; Ceran, Marina/V-8446-2019; Petrović, Kristina/AAZ-4406-2020	Marinkovic, Jelena/0000-0003-3984-7930; Miladinovic, Jegor/0000-0002-4061-4037													1380-3743	1572-9788				MAY	2019	39	5							74	10.1007/s11032-019-0983-6	http://dx.doi.org/10.1007/s11032-019-0983-6													WOS:000467653900002
S	Kulwal, PL		Rakshit, S; Wang, YH		Kulwal, Pawan L.			Association Mapping and Genomic Selection-Where Does Sorghum Stand?	SORGHUM GENOME	Compendium of Plant Genomes																Kulwal, Pawan/CAJ-1065-2022														2199-4781	2199-479X	978-3-319-47789-3; 978-3-319-47787-9				2016							137	148		10.1007/978-3-319-47789-3_7	http://dx.doi.org/10.1007/978-3-319-47789-3_7	10.1007/978-3-319-47789-3												WOS:000414984900009
J	Yu, PY; Ye, CR; Li, L; Yin, HX; Zhao, J; Wang, YK; Zhang, Z; Li, WG; Long, Y; Hu, XY; Xiao, JH; Jia, GF; Tian, BC				Yu, Peiyi; Ye, Changrong; Li, Le; Yin, Hexing; Zhao, Jian; Wang, Yongka; Zhang, Zhe; Li, Weiguo; Long, Yu; Hu, Xueyi; Xiao, Jinhua; Jia, Gaofeng; Tian, Bingchuan			Genome-wide association study and genomic prediction for yield and grain quality traits of hybrid rice	MOLECULAR BREEDING																															1380-3743	1572-9788				APR	2022	42	4							16	10.1007/s11032-022-01289-6	http://dx.doi.org/10.1007/s11032-022-01289-6								37309463					WOS:000770310700001
J	Atanda, SA; Olsen, M; Crossa, J; Burgueno, J; Rincent, R; Dzidzienyo, D; Beyene, Y; Gowda, M; Dreher, K; Boddupalli, PM; Tongoona, P; Danquah, EY; Olaoye, G; Robbins, KR				Atanda, Sikiru Adeniyi; Olsen, Michael; Crossa, Jose; Burgueno, Juan; Rincent, Renaud; Dzidzienyo, Daniel; Beyene, Yoseph; Gowda, Manje; Dreher, Kate; Boddupalli, Prasanna M.; Tongoona, Pangirayi; Danquah, Eric Yirenkyi; Olaoye, Gbadebo; Robbins, Kelly R.			Scalable Sparse Testing Genomic Selection Strategy for Early Yield Testing Stage	FRONTIERS IN PLANT SCIENCE																	Atanda, Sikiru Adeniyi/AGN-9109-2022; Robbins, Kelly R/ABU-9024-2022; Rincent, Renaud/ACR-2023-2022; Tongoona, Pangirayi/GSJ-0016-2022	Atanda, Sikiru Adeniyi/0000-0001-8758-2063; Tongoona, Pangirayi/0000-0003-1030-8589; Danquah, Eric/0000-0002-7870-0432													1664-462X					JUN 22	2021	12								658978	10.3389/fpls.2021.658978	http://dx.doi.org/10.3389/fpls.2021.658978								34239521					WOS:000669990100001
J	Annicchiarico, P; de Buck, AJ; Vlachostergios, DN; Heupink, D; Koskosidis, A; Nazzicari, N; Crosta, M				Annicchiarico, Paolo; de Buck, Abco J. J.; Vlachostergios, Dimitrios N. N.; Heupink, Dennis; Koskosidis, Avraam; Nazzicari, Nelson; Crosta, Margherita			White Lupin Adaptation to Moderately Calcareous Soils: Phenotypic Variation and Genome-Enabled Prediction	PLANTS-BASEL																		Crosta, Margherita/0000-0001-6766-9073; Vlachostergios, Dimitrios/0000-0001-7252-1719; nazzicari, nelson/0000-0003-2710-9885; Annicchiarico, Paolo/0000-0001-8027-1035; Koskosidis, Avraam/0000-0001-5608-0626														2223-7747				MAR	2023	12	5							1139	10.3390/plants12051139	http://dx.doi.org/10.3390/plants12051139								36903997					WOS:000948072400001
J	Michel, S; Loschenberger, F; Sparry, E; Ametz, C; Burstmayr, H				Michel, Sebastian; Loschenberger, Franziska; Sparry, Ellen; Ametz, Christian; Burstmayr, Hermann			Multi-Year Dynamics of Single-Step Genomic Prediction in an Applied Wheat Breeding Program	AGRONOMY-BASEL																	Buerstmayr, Hermann/AAG-8583-2021	Michel, Sebastian/0000-0001-6636-2694; Buerstmayr, Hermann/0000-0002-0748-2351														2073-4395				OCT	2020	10	10							1591	10.3390/agronomy10101591	http://dx.doi.org/10.3390/agronomy10101591													WOS:000584210700001
J	Azizinia, S; Bariana, H; Kolmer, J; Pasam, R; Bhavani, S; Chhetri, M; Toor, A; Miah, H; Hayden, MJ; del Carpio, DP; Bansal, U; Daetwyler, HD				Azizinia, Shiva; Bariana, Harbans; Kolmer, James; Pasam, Raj; Bhavani, Sridhar; Chhetri, Mumta; Toor, Arvinder; Miah, Hanif; Hayden, Matthew J.; Pino del Carpio, Dunia; Bansal, Urmil; Daetwyler, Hans D.			Genomic Prediction of Rust Resistance in Tetraploid Wheat under Field and Controlled Environment Conditions	AGRONOMY-BASEL																	Bansal, Urmil/AAI-4039-2020; bhavani, sridhar/AAE-9435-2019; Daetwyler, Hans D/H-9775-2019	Bansal, Urmil/0000-0003-1119-4464; Hayden, Matthew/0000-0003-3117-5500; bhavani, sridhar/0000-0002-4091-2608; Bariana, Harbans/0000-0003-4299-3912; Chhetri, Mumta/0000-0001-8414-0278														2073-4395				NOV	2020	10	11							1843	10.3390/agronomy10111843	http://dx.doi.org/10.3390/agronomy10111843													WOS:000592705500001
J	Zhang, JF; Gill, HS; Brar, NK; Halder, J; Ali, S; Liu, XT; Bernardo, A; Amand, PS; Bai, GH; Gill, US; Turnipseed, B; Sehgal, SK				Zhang, Jinfeng; Gill, Harsimardeep S.; Brar, Navreet K.; Halder, Jyotirmoy; Ali, Shaukat; Liu, Xiaotian; Bernardo, Amy; Amand, Paul St.; Bai, Guihua; Gill, Upinder S.; Turnipseed, Brent; Sehgal, Sunish K.			Genomic prediction of Fusarium head blight resistance in early stages using advanced breeding lines in hard winter wheat	CROP JOURNAL																		Gill, Harsimardeep/0000-0002-3067-6912													2095-5421	2214-5141				DEC	2022	10	6					1695	1704		10.1016/j.cj.2022.03.010	http://dx.doi.org/10.1016/j.cj.2022.03.010		DEC 2022											WOS:000901511000001
J	Shook, JM; Lourenco, D; Singh, AK				Shook, Johnathon M.; Lourenco, Daniela; Singh, Asheesh K.			PATRIOT: A Pipeline for Tracing Identity-by-Descent for Chromosome Segments to Improve Genomic Prediction in Self-Pollinating Crop Species	FRONTIERS IN PLANT SCIENCE																															1664-462X					SEP 29	2021	12								676269	10.3389/fpls.2021.676269	http://dx.doi.org/10.3389/fpls.2021.676269								34737757					WOS:000715823000001
J	Haile, JK; N'Diaye, A; Clarke, F; Clarke, J; Knox, R; Rutkoski, J; Bassi, FM; Pozniak, CJ				Haile, Jemanesh K.; N'Diaye, Amidou; Clarke, Fran; Clarke, John; Knox, Ron; Rutkoski, Jessica; Bassi, Filippo M.; Pozniak, Curtis J.			Genomic selection for grain yield and quality traits in durum wheat	MOLECULAR BREEDING																	Rutkoski, Jessica/Y-9255-2019; Bassi, Filippo/AAG-4909-2021; Haile, Jemanesh/AAL-7670-2020; Clarke, John M/F-3027-2011	Rutkoski, Jessica/0000-0001-8435-4049; Clarke, John M/0000-0003-1894-0378; N'Diaye, Amidou/0000-0001-7769-7801; Bassi, Filippo Maria/0000-0002-1164-5598													1380-3743	1572-9788				JUN	2018	38	6							75	10.1007/s11032-018-0818-x	http://dx.doi.org/10.1007/s11032-018-0818-x													WOS:000433266100001
J	Yabe, S; Hara, T; Ueno, M; Enoki, H; Kimura, T; Nishimura, S; Yasui, Y; Ohsawa, R; Iwata, H				Yabe, Shiori; Hara, Takashi; Ueno, Mariko; Enoki, Hiroyuki; Kimura, Tatsuro; Nishimura, Satoru; Yasui, Yasuo; Ohsawa, Ryo; Iwata, Hiroyoshi			Potential of Genomic Selection in Mass Selection Breeding of an Allogamous Crop: An Empirical Study to Increase Yield of Common Buckwheat	FRONTIERS IN PLANT SCIENCE																															1664-462X					MAR 21	2018	9								276	10.3389/fpls.2018.00276	http://dx.doi.org/10.3389/fpls.2018.00276								29619035					WOS:000427927800001
J	Hu, DD; Zhao, YS; Shen, JX; He, XX; Zhang, YK; Jiang, Y; Snowdon, R; Meng, JL; Reif, JC; Zou, J				Hu, Dandan; Zhao, Yusheng; Shen, Jinxiong; He, Xiangxiang; Zhang, Yikai; Jiang, Yong; Snowdon, Rod; Meng, Jinling; Reif, Jochen C.; Zou, Jun			Genome-wide prediction for hybrids between parents with distinguished difference on exotic introgressions in Brassica napus	CROP JOURNAL																	Shen, Jinxiong/AAT-3318-2021	Hu, Dandan/0000-0001-7204-9602; Reif, Jochen/0000-0002-6742-265X; Snowdon, Rod/0000-0001-5577-7616													2095-5421	2214-5141				OCT	2021	9	5					1169	1178		10.1016/j.cj.2020.11.002	http://dx.doi.org/10.1016/j.cj.2020.11.002													WOS:000704697000021
J	Beyene, Y; Gowda, M; Perez-Rodriguez, P; Olsen, M; Robbins, KR; Burgueno, J; Prasanna, BM; Crossa, J				Beyene, Yoseph; Gowda, Manje; Perez-Rodriguez, Paulino; Olsen, Michael; Robbins, Kelly R.; Burgueno, Juan; Prasanna, Boddupalli M.; Crossa, Jose			Application of Genomic Selection at the Early Stage of Breeding Pipeline in Tropical Maize	FRONTIERS IN PLANT SCIENCE																	Robbins, Kelly R/ABU-9024-2022														1664-462X					JUN 28	2021	12								685488	10.3389/fpls.2021.685488	http://dx.doi.org/10.3389/fpls.2021.685488								34262585					WOS:000671998400001
J	Elbasyoni, IS; Lorenz, AJ; Guttieri, M; Frels, K; Baenziger, PS; Poland, J; Akhunov, E				Elbasyoni, Ibrahim S.; Lorenz, A. J.; Guttieri, M.; Frels, K.; Baenziger, P. S.; Poland, J.; Akhunov, E.			A comparison between genotyping-by-sequencing and array-based scoring of SNPs for genomic prediction accuracy in winter wheat	PLANT SCIENCE																	Poland, Jesse/HKO-1284-2023; Baenziger, Peter S/C-6490-2014	Baenziger, Peter S/0000-0002-9109-6954													0168-9452	1873-2259				MAY	2018	270						123	130		10.1016/j.plantsci.2018.02.019	http://dx.doi.org/10.1016/j.plantsci.2018.02.019								29576064					WOS:000430777600012
J	Yu, GN; Cui, YR; Jiao, YX; Zhou, K; Wang, X; Yang, WY; Xu, YY; Yang, K; Zhang, XC; Li, PC; Yang, ZF; Xu, Y; Xu, CW				Yu, Guangning; Cui, Yanru; Jiao, Yuxin; Zhou, Kai; Wang, Xin; Yang, Wenyan; Xu, Yiyi; Yang, Kun; Zhang, Xuecai; Li, Pengcheng; Yang, Zefeng; Xu, Yang; Xu, Chenwu			Comparison of sequencing-based and array-based genotyping platforms for genomic prediction of maize hybrid performance	CROP JOURNAL																	Yang, Zefeng/AAV-1276-2020; 杨, 文艳/AAY-2897-2021														2095-5421	2214-5141				APR	2023	11	2					490	498		10.1016/j.cj.2022.09.004	http://dx.doi.org/10.1016/j.cj.2022.09.004													WOS:000972190200001
