"Publication_Type","Authors","Article_Name","Journal","Year","Type"
"J","Ahmad, R; Hussain, J; Jamil, M; Kim, MD; Kwak, SS; Shah, MM; El-Hendawy, SE; Al-Suhaibani, NA; Shafiq-Ur-Rehman","GLYCINEBETAINE SYNTHESIZING TRANSGENIC POTATO PLANTS EXHIBIT ENHANCED TOLERANCE TO SALT AND COLD STRESSES","PAKISTAN JOURNAL OF BOTANY",2014,"Transgenic"
"J","Vardy, KA; Emes, MJ; Burrell, MM","Starch synthesis in potato tubers transformed with wheat genes for ADPglucose pyrophosphorylase","FUNCTIONAL PLANT BIOLOGY",2002,"Transgenic"
"J","Park, KY; Kim, EY; Seo, YS; Kim, WT","Constitutive expression of CaPLA1 conferred enhanced growth and grain yield in transgenic rice plants","PLANT MOLECULAR BIOLOGY",2016,"Transgenic"
"J","Raghuwanshi, A; Birch, RG","Genetic transformation of sweet sorghum","PLANT CELL REPORTS",2010,"Transgenic"
"J","Mulyatama, RA; Neliana, IR; Sawitri, WD; Sakakibara, H; Kim, KM; Sugiharto, B","Increasing the Activity of Sugarcane Sucrose Phosphate Synthase Enhanced Growth and Grain Yields in Transgenic Indica Rice","AGRONOMY-BASEL",2022,"Transgenic"
"J","Guo, M; Rupe, MA; Wei, J; Winkler, C; Goncalves-Butruille, M; Weers, BP; Cerwick, SF; Dieter, JA; Duncan, KE; Howard, RJ; Hou, ZL; Loffler, CM; Cooper, M; Simmons, CR","Maize ARGOS1 (ZAR1) transgenic alleles increase hybrid maize yield","JOURNAL OF EXPERIMENTAL BOTANY",2014,"Transgenic"
"J","Matthews, PR; Wang, MB; Waterhouse, PM; Thornton, S; Fieg, SJ; Gubler, F; Jacobsen, JV","Marker gene elimination from transgenic barley, using co-transformation with adjacent 'twin T-DNAs' on a standard Agrobacterium transformation vector","MOLECULAR BREEDING",2001,"Transgenic"
"J","Fasoula, VA; Tollenaar, M","The impact of plant population density on crop yield and response to selection in maize","MAYDICA",2005,"Transgenic"
"S","Rustgi, S; Ankrah, NO; Brew-Appiah, RAT; Sun, Y; Liu, WG; von Wettstein, D","Doubled Haploid Transgenic Wheat Lines by Microspore Transformation","WHEAT BIOTECHNOLOGY: METHODS AND PROTOCOLS",2017,"Transgenic"
"J","Vimolmangkang, S; Gasic, K; Soria-Guerra, R; Rosales-Mendoza, S; Moreno-Fierros, L; Korban, SS","Expression of the nucleocapsid protein of Porcine Reproductive and Respiratory Syndrome Virus in soybean seed yields an immunogenic antigenic protein","PLANTA",2012,"Transgenic"
"J","He, XL; Miyasaka, SC; Fitch, MMM; Moore, PH; Zhu, YJ","Agrobacterium tumefaciens-mediated transformation of taro (Colocasia esculenta (L.) Schott) with a rice chitinase gene for improved tolerance to a fungal pathogen Sclerotium rolfsii","PLANT CELL REPORTS",2008,"Transgenic"
"J","Islam, SMT; Tammi, RS; Singla-Pareek, SL; Seraj, ZI","Enhanced salinity tolerance and improved yield properties in Bangladeshi rice Binnatoa through Agrobacterium-mediated transformation of PgNHX1 from Pennisetum glaucum","ACTA PHYSIOLOGIAE PLANTARUM",2010,"Transgenic"
"J","Collier, R; Thomson, JG; Thilmony, R","A versatile and robust Agrobacterium-based gene stacking system generates high-quality transgenic Arabidopsis plants","PLANT JOURNAL",2018,"Transgenic"
"J","Wu, XL; Ning, F; Hu, XL; Wang, W","Genetic Modification for Improving Seed Vigor Is Transitioning from Model Plants to Crop Plants","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Joersbo, M; Jorgensen, K; Brunstedt, J","A selection system for transgenic plants based on galactose as selective agent and a UDP-glucose : galactose-1-phosphate uridyltransferase gene as selective gene","MOLECULAR BREEDING",2003,"Transgenic"
"J","Gregersen, PL; Culetic, A; Boschian, L; Krupinska, K","Plant senescence and crop productivity","PLANT MOLECULAR BIOLOGY",2013,"Transgenic"
"J","Raj, RS; Singh, C; Modi, A; Subhash, N","Genetic transformation of lowland rice variety GR11 for drought tolerance and its ratification for upland paddy cultivation","INDIAN JOURNAL OF GENETICS AND PLANT BREEDING",2015,"Transgenic"
"J","Shi, JR; Gao, HR; Wang, HY; Lafitte, HR; Archibald, RL; Yang, MZ; Hakimi, SM; Mo, H; Habben, JE","ARGOS8 variants generated by CRISPR-Cas9 improve maize grain yield under field drought stress conditions","PLANT BIOTECHNOLOGY JOURNAL",2017,"Transgenic"
"J","Tang, YC; Wang, CL; Wang, FJ; Li, M; Fang, YL; Ji, ZY; Zhao, KJ","Development of Designer Transcription Activator-Like Effector-Based Plant Growth Regulator for Higher Yield in Rice","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Hannah, LC; Futch, B; Bing, J; Shaw, JR; Boehlein, S; Stewart, JD; Beiriger, R; Georgelis, N; Greene, T","A shrunken-2 Transgene Increases Maize Yield by Acting in Maternal Tissues to Increase the Frequency of Seed Development","PLANT CELL",2012,"Transgenic"
"J","Zhang, HF; Xu, WG; Wang, HW; Hu, L; Li, Y; Qi, XL; Zhang, L; Li, CX; Hua, X","Pyramiding expression of maize genes encoding phosphoenolpyruvate carboxylase (PEPC) and pyruvate orthophosphate dikinase (PPDK) synergistically improve the photosynthetic characteristics of transgenic wheat","PROTOPLASMA",2014,"Transgenic"
"J","Altpeter, F; Vasil, V; Srivastava, V; Stoger, E; Vasil, IK","Accelerated production of transgenic wheat (Triticum aestivum L) plants","PLANT CELL REPORTS",1996,"Transgenic"
"J","Lin, JY; Mazarei, M; Zhao, N; Hatcher, CN; Wuddineh, WA; Rudis, M; Tschaplinski, TJ; Pantalone, VR; Arelli, PR; Hewezi, T; Chen, F; Stewart, CN","Transgenic soybean overexpressing GmSAMT1 exhibits resistance to multiple-HG types of soybean cyst nematode Heterodera glycines","PLANT BIOTECHNOLOGY JOURNAL",2016,"Transgenic"
"J","Song, LH; Wang, XM; Zou, LP; Prodhan, Z; Yang, JH; Yang, JP; Ji, L; Li, GH; Zhang, RC; Wang, CY; Li, S; Zhang, Y; Ji, X; Zheng, X; Li, WC; Zhang, ZY","Cassava (Manihot esculenta) Slow Anion Channel (MeSLAH4) Gene Overexpression Enhances Nitrogen Assimilation, Growth, and Yield in Rice","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Mbinda, W; Dixelius, C; Oduor, R","Induced Expression of Xerophyta viscosa XvSap1 Gene Enhances Drought Tolerance in Transgenic Sweet Potato","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","FLADUNG, M; BALLVORA, A; SCHMULLING, T","CONSTITUTIVE OR LIGHT-REGULATED EXPRESSION OF THE ROLC GENE IN TRANSGENIC POTATO PLANTS HAS DIFFERENT EFFECTS ON YIELD ATTRIBUTES AND TUBER CARBOHYDRATE-COMPOSITION","PLANT MOLECULAR BIOLOGY",1993,"Transgenic"
"J","Jonik, C; Sonnewald, U; Hajirezaei, MR; Flugge, UI; Ludewig, F","Simultaneous boosting of source and sink capacities doubles tuber starch yield of potato plants","PLANT BIOTECHNOLOGY JOURNAL",2012,"Transgenic"
"J","CHRISTOU, P; FORD, T","PARAMETERS INFLUENCING STABLE TRANSFORMATION OF RICE IMMATURE EMBRYOS AND RECOVERY OF TRANSGENIC PLANTS USING ELECTRIC-DISCHARGE PARTICLE-ACCELERATION","ANNALS OF BOTANY",1995,"Transgenic"
"J","Perez-Alonso, N; Chong-Perez, B; Capote, A; Perez, A; Izquierdo, Y; Angenon, G; Jimenez, E","Agrobacterium tumefaciens-mediated genetic transformation of Digitalis purpurea L.","PLANT BIOTECHNOLOGY REPORTS",2014,"Transgenic"
"J","Ma, XJ; Fu, JD; Tang, YM; Yu, TF; Yin, ZG; Chen, J; Zhou, YB; Chen, M; Xu, ZS; Ma, YZ","GmNFYA13 Improves Salt and Drought Tolerance in Transgenic Soybean Plants","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Lu, X; Xiong, Q; Cheng, T; Li, QT; Liu, XL; Bi, YD; Li, W; Zhang, WK; Ma, B; Lai, YC; Du, WG; Man, WQ; Chen, SY; Zhang, JS","A PP2C-1 Allele Underlying a Quantitative Trait Locus Enhances Soybean 100-Seed Weight","MOLECULAR PLANT",2017,"Transgenic"
"J","Caddell, D; Langenfeld, NJ; Eckels, MJH; Zhen, SY; Klaras, R; Mishra, L; Bugbee, B; Coleman-Derr, D","Photosynthesis in rice is increased by CRISPR/Cas9-mediated transformation of two truncated light-harvesting antenna","FRONTIERS IN PLANT SCIENCE",2023,"Transgenic"
