Tested in field,Did they test for yield effects in the field?,Matching On-Farm Practices,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,no*,yes,yes,yes,yes,yes,
Individual replication (>=20),Did they have sufficient replication of individuals within an environment (n = number of plants)? Where sufficient >= 20,Sufficient Replication and Experimental Design,no (n = 16),no (n = 4),no (n = 5-11),no (n = 10*-17),yes (n = 20-44)*,yes (n = 150*),no (n = 6-10),not available,yes (n = 26-38),no (n = 19-21),yes (n = 130),no (n = 15-27),yes (n = >50),yes (n = 20),yes (n = 40),no (n = 10),no (n = 9-20),yes (n = 300),yes (n = 40),yes (n = 30)*,yes (n = 60),yes,no (n = 10-47),yes (n = 450-900),
Plot replication (p >= 3),Did they have sufficient plot replication within an environment (p = number of plots)? Where sufficient >= 3.,Sufficient Replication and Experimental Design,no (p = 1-5),yes (p = 12),no (p = 1),yes (p = 16-20),yes (p = 3-6)*,yes (p = 3),not applicable,not available,yes (p = 3),yes (p = 3),yes (p = 3-6),no information,yes (p = 7-17),yes (n = 3),yes (p = 3-6),no (p = 1),no information,yes (p =3),not applicable,no information,no information,yes,no information,yes (p = 3),
Years tested,Did they replicate their experiments across environments and/or years (n = number years)?,Sufficient Replication and Experimental Design,n = 2,n=1,n = 4,n = 2,n = 4,n = 1,not applicable,n=1,n = 2,n = 1,n = 2,n = 3,n = 1,n = 2,n = 1,n = 1,no information,n = 2,no information,no information,no information,no information,no information,n = 2,
Enough site year combinations (>=3),Were enough site year locations tested? (syc = total number of site-year combinations)?,Sufficient Replication and Experimental Design,no (syc = 2),no (syc = 1),no (syc = 1-3),no (syc = 2),yes (syl = 4),no (n = 1),not applicable,no (syl=1),yes (syl = 3),no (syl = 1),no (syl = 2),no (syl = 1-4),no (syl = 1),no (syl = 2),no (syl = 2),no (syl = 1),no information,yes (syl = 3),no information,no information,no information,no information,no information,no (syl=2**),
Measured plot yield,Did they measure plot yield? (As opposted to single plant yield or grain yield per 1000 plants),Utilizing Standard Definitions of Yield,yes,yes,yes,yes*,yes,no,no,yes,yes,no,yes,no,yes,yes,yes*,no,no,yes*,no,no*,yes,no,no,yes,
Normal sowing practices,Did they directly plant the seeds in the field or transplant seedlings (YES/NO)? Is this normal (normal/not-normal)?,Matching On-Farm Practices,"yes (transplanted, normal)","yes (transplanted, normal)","yes (transplanted, normal)",yes (direct seeding),yes (transplanted),yes (direct seeding),not applicable,yes (direct seeding),no information,no information,"yes (direct, normal)",no information,no information,"yes (direct seeding, normal)",no information,no information,no information,no information,not applicable,no information,no information,no information,no information,yes,
Randomized plot designs,Did they consider plant competition in their plot design?,Sufficient Replication and Experimental Design,yes,yes,no information,yes,yes,no information,not applicable,no information,yes,no information,yes,no information,no information,yes,no information,no information,no information,yes,not applicable,no information,no information,no information,no information,yes,
Corrected for field effects,"Did they correct for field effects (BLUPs, BLUEs, fixed effects) in their yield estimates?",Sufficient Replication and Experimental Design,yes,yes,no information,yes,no,no,not applicable,no information,unclear*,unclear*,no information,no information,no information,no,no,no information,no information,no information,no information,no information,no information,no information,no information,no information,
Standard planting density,Did they plant at a standard planting density?,Matching On-Farm Practices,yes (high*),yes (high*),ask,no,ask,no (low*),not applicable,yes (normal*),yes,ask,no (low*),ask,no (low*),no (low*),ask,no information,no information,ask,not applicable,ask,no information,no information,ask,no (low*),
Avoided edge effects,Did they avoid edge effects by only harvesting inner-rows?,Sufficient Replication and Experimental Design,no*,no*,no information,no*,yes,no information,not applicable,unclear,yes,no information,unclear*,no information,no information,no information,no information,no information,no information,no information,not applicable,no information,no information,no information,no information,no information,
Mechanically harvested,Did they mechanically harvest their fields?,Matching On-Farm Practices,no,no,no,no,no,no,no,no information,no information,no information,no,no information,no information,no information,no information,no information,no information,no information,not applicable,no information,no information,no information,no information,no information,
Measured relevant yield type,"Did they measure yield in a context relevant to what is commerically expected? (i.e. did they measure hybrids vs. inbred yield; maize = hybrid, wheat = inbred, rice = inbred)",Using Controls,"no (inbred, should be hybrid)","no (inbred, should be hybrid)","yes (inbred, but both inbred and hybrid rice exist)",yes (inbred),"yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, no hybrid wheat)","yes (inbred, but both inbred and hybrid rice exist)",yes*,"no (inbred, hybrid common)","yes (inbred, but both inbred and hybrid rice exist)",yes,"yes (inbred, but both inbred and hybrid rice exist)",yes (inbred),no (inbred),yes (hybrids),"yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, but both inbred and hybrid rice exist)",yes (inbred),"yes (inbred, but both inbred and hybrid rice exist)","yes (inbred, but both inbred and hybrid rice exist)",yes (inbred),
Controlled for moisture,"Did they control for moisture before weighing (grain, leaves) to an industry standard? (maize = 15.5%, wheat = 13.5%, soy = 13-15%)",Matching On-Farm Practices,no,no,yes,no,no,no,no,no information,no information,no information,yes,no,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,
Data available,Gathered data from publication?,,yes,yes,yes,yes,yes,yes*,no,yes,yes,yes (used plot digitizer),yes,yes,yes*,no*,yes,no,yes,yes,no,yes,yes,yes,yes,yes,
Design available,Gathered experimental design data?,,yes,yes,yes,yes,yes,yes*,no,yes,yes,yes,yes*,yes,yes,yes,yes,no,no information,yes,no,yes,yes,no*,yes,yes,
Notes,Other notes?,,"*both plot and individual plant yield were measured. Also, their plot design was such that it amplified edge effects and competition. High density according to Ramsey Lewis.","*both plot and individual plant yield were measured. Also, their plot design was such that it amplified edge effects and competition. High density according to Ramsey Lewis.",,"*Selected 10 plants per block in 2021, potentialy due to severe lodging. Also, their plot design was such that it amplified edge effects and competion.","*Sample size varies from 180 in the methods to 20-44 in Tables S1-S5, probably because some of the 180 samples were used for destructive sampling. Altmetric score potentially skewed by my tweets.","*Sample size of 150 is from the methods section, however, in main figure 7F it says the sample size is >30. The data was not available in the supplimental tables so the Plot Digitizer online software was used to estimate the mean values. Altmetric score skewed by my tweets. Density low according to Mark Sorrells.","*while plants were directly seeded into the soil, they were grown in growth chambers for all yield estimates. Nipponbare is elite in terms of grain quality - for yield its an older variety. ","Since this was a natural variation allele, no empty vector/null-allele could be tested. Normal planting density according to Mark Sorrells. Measured inbred yield, however, there was a potential boost in yield due to heterosis in F4 population","*=BLUPs were made to do QTL mapping for Kernel Row number, it is unknown and unclear if this was done for all other phenotypes for either maize or rice.","*=BLUPs were made to do QTL mapping for Kernel Row number, it is unknown and unclear if this was done for all other phenotypes for either maize or rice. Phenotypes were not available in supplimental data so I used plot digitizer on the main figure for rice, since no plot size information was available, I dropped it from the yield figure.  Nipponbare is elite in terms of grain quality - for yield its an older variety. ","*For WT versus null-construct, in the methods it is unclear what the wild type actually is. For the yield data, I will only analyze the T3 data, as the T2 data has many more issues going on with variable plot sizes. Things are much more consistent with the T3 data. It is still unclear if in the T3 generation, some things  were measured as two or four row plots. Low planting density according to Mark Sorrells.",Nipponbare is elite in terms of grain quality - for yield its an older variety. Zhonghua 11 has no yield trial information readily available.,*used plot digitizer to get data. Variety has little information about it. Density low according to Walter De Jong.,*>35% because no full range was provided and no raw data was available to caluclate this range manually. Second * = lines were selfed for one generation and backcrossed another generation (BC1S1). Low density according to Nick Lepack.,"*No backcrossing, however, hybrids were made with multiple lines. Number of exact years was hard to discern from the text, we are assuming it is one year with two locations (Wuhan and Linshui). Plot yield was measured for three different testers, only the genotype with significant results was put into the main paper - other two genotypes are in the suppliment.","*breeding methodologoes to stack QTL provided a yield increase of 23-34%, however, they did not include the CKX2 anitsense transformed line. Also, no experimental design data or yield data was available to collect. Both lines are elite in terms of grain quality, but we're unsure of they are compeititve in terms of yield because they are older.",*used plot digitizer for Fig2C. Zhonghua 11 has no yield trial data readily available.,"*measured many individual yield components at low sample sizes throughout the paper (n=20), however, I am only looking at results for plot yield in Figure 6 J - L.",*Measured the number of primary branches per panicle (as a proxy for yield) in the greenhouse. Nipponbare is elite in terms of grain quality - for yield its an older variety. ,*Data for sample size and plot number are based off Extended Data Figure 10i. Percent increase in yield numbers from plot digitizer.,*Percent increase in yield numbers from plot digitizer on Figure 5q.,*I calculated percent increase in yield values using data obtained from the plotdigitizer tool. No field design data available to pull.,*Providied a fold difference statement rather than a percent difference. Nipponbare is elite in terms of grain quality - for yield its an older variety. ,"*They provided an average, I calculated the range. **Only 2 site year locations because they tested only 1 density per year and site. All low density according to Mark Sorrells.",
